service,tray,diameter_ft,a_col_ft2,flv,u_nf_ft_s,u_design_ft_s,f_hole_eff,u_hole_ft_s,dp_dry_in,dp_tray_in,dp_tray_psi,h_dc_in,h_dc_limit_in,dc_backup_pct,min_load_pct,max_load_pct,turndown_ratio,e_oconnell_pct,e_tray_pct,n_actual_trays,column_height_ft,total_dp_psi,shell_ratio,tray_ratio,relative_installed_cost
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),Moving Valve,9.2401,67.0571,0.53452,0.4979,0.3983,0.1300,3.0639,0.4000,3.2112,0.05203,5.6097,13.0000,43.15,37.50,125.00,3.333,84.68,84.68,48,106.00,2.4976,0.9853,1.3107,1.0829
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),Fixed Valve,9.0237,63.9526,0.53452,0.5221,0.4176,0.1200,3.4804,0.2515,2.9351,0.04756,5.5205,13.0000,42.47,56.25,125.00,2.222,84.68,84.68,48,106.00,2.2829,0.9623,1.1111,1.0069
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),High-Performance MD,8.0349,50.7046,0.53452,0.6042,0.4834,0.1400,3.4527,0.2475,2.4551,0.03978,5.0328,12.5000,40.26,50.00,125.00,2.500,84.68,82.14,49,108.00,1.9493,0.8730,1.1616,0.9596
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),Ripple (Corrugated),8.8288,61.2201,0.53452,0.5317,0.4254,0.1100,3.8671,0.3532,2.7068,0.04386,5.2033,12.7500,40.81,50.00,125.00,2.500,84.68,93.14,43,96.00,1.8860,0.8527,0.9131,0.8708
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HyTrays Apex,5.6815,25.3523,0.53452,1.2085,0.9668,0.2500,3.8671,0.2750,2.1001,0.03403,6.5585,12.2500,53.54,5.62,125.00,22.222,84.68,100.00,40,90.00,1.3612,0.5144,0.9788,0.6537
Foaming Service,Sieve,5.0655,20.1530,0.05197,1.1381,0.9104,0.1000,9.1044,0.9817,2.4099,0.04184,3.5807,13.0000,27.54,62.50,125.00,2.000,76.18,76.18,27,64.00,1.1296,1.0000,1.0000,1.0000
Foaming Service,Dual-Flow,4.1718,13.6690,0.05197,1.3088,1.0470,0.2000,5.2350,0.3246,0.7246,0.01258,,,,81.25,125.00,1.538,76.18,63.23,32,74.00,0.4025,0.9522,0.5627,0.8354
Foaming Service,Moving Valve,4.9912,19.5660,0.05197,1.1722,0.9378,0.1300,7.2135,0.4546,1.8860,0.03274,3.0596,13.0000,23.54,37.50,125.00,3.333,76.18,76.18,27,64.00,0.8840,0.9853,1.3107,1.0829
Foaming Service,Fixed Valve,4.8743,18.6601,0.05197,1.2291,0.9833,0.1200,8.1940,0.6621,2.0205,0.03508,3.2770,13.0000,25.21,56.25,125.00,2.222,76.18,76.18,27,64.00,0.9471,0.9623,1.1111,1.0069
Foaming Service,High-Performance MD,4.3402,14.7946,0.05197,1.4226,1.1381,0.1400,8.1289,0.6517,1.4824,0.02574,2.3223,12.5000,18.58,50.00,125.00,2.500,76.18,73.89,28,66.00,0.7206,0.8836,1.1800,0.9725
Foaming Service,Ripple (Corrugated),4.7690,17.8629,0.05197,1.2519,1.0015,0.1100,9.1044,0.9301,1.9906,0.03456,3.0548,12.7500,23.96,50.00,125.00,2.500,76.18,83.80,24,58.00,0.8294,0.8532,0.9061,0.8691
Foaming Service,HyTrays Apex,3.0690,7.3973,0.05197,2.8451,2.2761,0.2500,9.1044,0.7241,1.2308,0.02137,2.0943,12.2500,17.10,5.62,125.00,22.222,76.18,91.41,22,54.00,0.4701,0.5112,0.9571,0.6450
