service,tray,diameter_ft,flv,u_nf_ft_s,u_design_ft_s,f_hole_eff,dp_dry_in,dp_tray_in,dp_tray_psi,h_dc_in,h_dc_limit_in,dc_backup_pct,min_load_pct,max_load_pct,turndown_ratio,e_oconnell_pct,e_tray_pct,n_actual_trays,column_height_ft,total_dp_psi
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-01A Hinge,9.0366,0.53452,0.5076,0.4060,0.1400,0.2097,3.0466,0.04937,5.4977,13.0000,42.29,10.00,125.00,12.500,84.68,88.91,45,100.00,2.2214
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-01B Spring,9.0366,0.53452,0.5076,0.4060,0.1300,0.2432,3.0801,0.04991,5.5313,13.0000,42.55,11.25,125.00,11.111,84.68,88.91,45,100.00,2.2459
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-01C LipSeal,8.8008,0.53452,0.5221,0.4176,0.1300,0.2254,2.6767,0.04337,5.1180,12.7500,40.14,47.50,125.00,2.632,84.68,86.37,47,104.00,2.0385
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-02 CVS,7.4451,0.53452,0.7976,0.6381,0.1500,0.3756,3.1722,0.05140,6.1496,13.0000,47.30,50.00,125.00,2.500,84.68,84.68,48,106.00,2.4673
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-03 GRADEX,8.3492,0.53452,0.5801,0.4640,0.1100,0.3516,2.7661,0.04482,5.4010,12.7500,42.36,37.50,125.00,3.333,84.68,94.84,43,96.00,1.9273
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-05 PULSAR,9.0366,0.53452,0.5076,0.4060,0.1200,0.3018,3.1386,0.05086,5.5898,13.0000,43.00,31.25,125.00,4.000,84.68,93.14,43,96.00,2.1868
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HT-08 VORTEXA,7.4451,0.53452,0.7976,0.6381,0.1500,0.3575,3.1541,0.05111,6.1315,13.0000,47.17,15.62,125.00,8.000,84.68,82.98,49,108.00,2.5043
High-Pressure / High-Liquid-Load Service (C3/C4 splitter),HyTrays Apex,5.6815,0.53452,1.2085,0.9668,0.2500,0.2750,2.1001,0.03403,6.5585,12.2500,53.54,5.62,125.00,22.222,84.68,100.00,40,90.00,1.3612
Foaming Service,Sieve,5.0655,0.05197,1.1381,0.9104,0.1000,0.9817,2.4099,0.04184,3.5807,13.0000,27.54,62.50,125.00,2.000,76.18,76.18,27,64.00,1.1296
Foaming Service,HT-01A Hinge,4.8813,0.05197,1.1950,0.9560,0.1400,0.5522,1.9886,0.03452,3.1670,13.0000,24.36,10.00,125.00,12.500,76.18,79.99,26,62.00,0.8976
Foaming Service,HT-01B Spring,4.8813,0.05197,1.1950,0.9560,0.1300,0.6405,2.0768,0.03606,3.2553,13.0000,25.04,11.25,125.00,11.111,76.18,79.99,26,62.00,0.9375
Foaming Service,HT-01C LipSeal,4.7539,0.05197,1.2291,0.9833,0.1300,0.5935,1.6972,0.02946,2.7204,12.7500,21.34,47.50,125.00,2.632,76.18,77.70,26,62.00,0.7661
Foaming Service,HT-02 CVS,4.0216,0.05197,1.8778,1.5022,0.1500,0.9891,2.3371,0.04057,3.6895,13.0000,28.38,50.00,125.00,2.500,76.18,76.18,27,64.00,1.0955
Foaming Service,HT-03 GRADEX,4.5100,0.05197,1.3657,1.0925,0.1100,0.9260,1.9983,0.03469,3.0761,12.7500,24.13,37.50,125.00,3.333,76.18,85.32,24,58.00,0.8326
Foaming Service,HT-05 PULSAR,4.8813,0.05197,1.1950,0.9560,0.1200,0.7946,2.2310,0.03873,3.4094,13.0000,26.23,31.25,125.00,4.000,76.18,83.80,24,58.00,0.9296
Foaming Service,HT-08 VORTEXA,4.0216,0.05197,1.8778,1.5022,0.1500,0.9415,2.2894,0.03975,3.6418,13.0000,28.01,15.62,125.00,8.000,76.18,74.65,27,64.00,1.0732
Foaming Service,HyTrays Apex,3.0690,0.05197,2.8451,2.2761,0.2500,0.7241,1.2308,0.02137,2.0943,12.2500,17.10,5.62,125.00,22.222,76.18,91.41,22,54.00,0.4701
